,internal_id,avg_hardness,avg_yield,Al,B,C,Cr,Cu,Fe,Mn,Mo,N,Nb,Ni,S,Si,Ti,V,lattice_constant,atomic_mass,atomic_radius,max_min_radius
385,MINFM6827,58.0,230.0,0.0,0.0,0.18,0.0,0.0,98.8049,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8954666300000005,55.528843935000005,1.3929285999999999,0.7
387,MINFM6814,55.5,205.0,0.0,0.0,0.18,0.0,0.0,99.1049,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87740663,55.531564800000005,1.3929285999999999,0.7
388,MINFM6848,55.5,215.0,0.0,0.0,0.2,0.0,0.0,99.0849,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87754663,55.522797940000004,1.3927886,0.7
390,MINFM6846,60.5,235.0,0.0,0.0,0.18,0.0,0.0,98.7049,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9014866299999995,55.52793698,1.3929285999999999,0.7
392,MINFM6861,63.0,240.0,0.0,0.0,0.22,0.0,0.0,98.7549,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89545963,55.505725715,1.3925086,0.7
393,MINFM6799,58.0,224.0,0.0,0.0,0.15,0.0,0.0,98.7349,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90127663,55.54108727,1.3931386,0.7
399,MINFM7043,91.5,475.0,0.0,0.0,0.6,0.0,0.0,98.4349,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89095163,55.31772433,1.3892886,0.7
400,MINFM7047,96.0,495.0,0.0,0.0,0.65,0.0,0.0,98.2749,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89703463,55.289315725,1.3887985999999999,0.7
402,MINFM7157,83.5,315.0,0.0,0.0,0.27,0.0,0.0,97.8399,1.35,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,2.9460351300000003,55.4384366525,1.3913486,0.7
404,MINFM7018,96.0,355.0,0.0,0.0,0.52,0.0,0.0,98.4349,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89698563,55.363053814999994,1.3901286,0.7
411,MINFM8385,121.5,550.0,0.0,0.0,0.15,0.4,0.0,97.5449,0.7,0.15,0.0,0.0,0.4,0.0,0.15,0.0,0.0,2.9055936300000003,55.50532802,1.3913035999999999,0.75
415,MINFM8119,265.5,325.0,0.0,0.0,0.17,0.7,0.0,97.6049,0.7,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.89786463,55.31854186,1.3889086,0.7
417,MINFM8394,268.5,722.5,0.0,0.0,0.18,0.4,0.0,98.4449,0.7,0.15,0.0,0.0,0.4,0.0,0.15,0.0,0.0,2.93249463,56.011536230000004,1.4041136,0.75
418,MINFM8423,268.5,722.5,0.0,0.0,0.17,0.35,0.0,96.8199,0.6,0.15,0.0,0.0,0.35,0.0,0.15,0.0,0.0,2.8734101300000003,54.992571115000004,1.3785185999999998,0.75
421,MINFM66664,192.0,205.0,0.0,0.0,0.0,18.0,0.0,65.8449,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.68974863,50.825854405,1.2818285999999999,0.04999999999999982
423,MINFM66672,321.0,517.5,0.0,0.0,0.0,17.0,0.0,67.6499,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.71275213,51.313895654999996,1.2930986,0.04999999999999982
429,MINFM66698,192.0,205.0,0.0,0.0,0.0,17.0,0.0,65.8449,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.6961486299999997,50.892827405,1.2813286,0.04999999999999982
433,MINFM66141,297.0,485.0,0.0,0.0,0.0,26.0,0.0,60.8749,0.0,1.0,0.15,0.0,3.5,0.0,0.0,0.0,0.0,2.65666813,50.549252955,1.2789736,0.7999999999999999
434,MINFM66104,230.0,415.0,0.0,0.0,0.0,23.0,0.0,43.2299,5.0,4.0,0.4,0.0,16.0,0.0,0.0,0.0,0.0,3.05295413,52.132313705,1.2738185999999998,0.7999999999999999
444,MINFM66163,270.5,385.0,0.0,0.0,0.0,20.0,0.0,41.3999,0.0,6.7,0.18,0.0,23.5,0.0,0.0,0.0,0.0,2.80969733,53.765135215,1.2751686,0.7999999999999999
449,MINFM66346,259.0,585.0,0.9,0.0,0.0,12.25,0.0,74.0219,0.0,2.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,2.84067853,54.270691152400005,1.3493065999999998,0.19999999999999996
452,MINFM53981,255.0,330.0,0.0,0.0,0.0,15.0,0.0,69.5999,7.0,0.0,0.15,0.0,1.5,0.0,0.0,0.0,0.0,3.1106756300000002,51.414553355,1.3036236,0.7499999999999999
453,MINFM54238,201.0,205.0,0.0,0.22,0.0,18.0,0.0,61.7049,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.73093663,50.885391605,1.2797386,0.5499999999999999
464,MINFM54246,217.0,205.0,0.0,1.0,0.0,18.0,0.0,60.7549,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.77176563,50.439189905000006,1.2730685999999998,0.5499999999999999
