,average,std_dev,median,variance,maximum,minimum,range
yield_strength,387.684126984127,241.82305003002742,310.0,58478.38752582514,1860.0,87.5,1772.5
hardness,170.6984126984127,75.94695515608558,163.0,5767.939997480474,444.0,29.0,415.0
