10 4 50.625 51.346
10 6 50.096 51.325
10 8 50.437 51.154
10 10 50.261 50.456
10 12 50.498 50.573
10 14 50.195 53.442
10 16 50.612 50.704
10 18 49.311 49.147
10 20 49.778 50.445
10 22 50.077 48.842
10 24 49.731 49.145
10 26 50.172 52.712
10 28 49.985 50.701
12 4 50.265 50.71
12 6 50.215 53.663
12 8 50.245 53.336
12 10 48.869 54.442
12 12 50.56 55.63
12 14 50.293 53.372
12 16 50.778 55.375
12 18 50.658 55.219
12 20 50.328 55.631
12 22 50.234 56.693
12 24 50.98 54.317
12 26 50.215 55.151
12 28 50.686 54.839
14 4 50.374 51.49
14 6 49.904 52.034
14 8 50.026 51.045
14 10 45.464 48.541
14 12 49.503 51.048
14 14 50.056 51.052
14 16 50.424 51.569
14 18 49.683 52.188
14 20 49.705 51.545
14 22 50.411 52.32
14 24 49.535 51.006
14 26 50.094 52.542
14 28 50.283 51.111
16 4 49.814 50.754
16 6 49.949 50.475
16 8 49.339 52.295
16 10 49.284 52.13
16 12 50.469 51.827
16 14 44.044 51.358
16 16 49.002 50.83
16 18 49.628 54.08
16 20 49.503 53.255
16 22 49.196 53.149
16 24 49.746 51.708
16 26 49.531 51.634
16 28 50.067 52.355
18 4 48.948 49.426
18 6 49.25 51.124
18 8 49.944 50.369
18 10 49.503 49.05
18 12 45.964 51.365
18 14 49.737 51.816
18 16 49.822 51.535
18 18 49.839 53.162
18 20 46.395 52.554
18 22 49.931 52.261
18 24 49.237 52.049
18 26 40.799 44.692
18 28 49.709 53.629
20 4 49.498 49.136
20 6 50.797 50.294
20 8 49.84 49.716
20 10 46.666 52.936
20 12 45.515 49.445
20 14 49.269 50.62
20 16 49.361 50.075
20 18 49.5 50.638
20 20 49.655 49.101
20 22 50.055 49.963
20 24 49.953 49.713
20 26 49.491 49.114
20 28 49.781 49.399
22 4 50.064 51.4
22 6 49.176 52.287
22 8 50.372 51.919
22 10 49.664 50.547
22 12 48.677 51.98
22 14 49.27 51.688
22 16 49.683 52.258
22 18 49.343 50.141
22 20 46.785 53.646
22 22 49.388 50.679
22 24 50.28 51.23
22 26 47.347 48.605
22 28 40.863 52.136
24 4 49.783 50.157
24 6 50.269 50.773
24 8 49.462 50.401
24 10 49.084 50.771
24 12 50.242 51.499
24 14 49.747 51.549
24 16 50.169 51.24
24 18 49.802 52.821
24 20 49.601 51.665
24 22 50.225 50.77
24 24 49.369 51.18
24 26 49.868 50.976
24 28 50.599 50.894
26 4 49.847 52.881
26 6 50.571 53.001
26 8 50.001 52.567
26 10 47.102 53.31
26 12 49.958 53.496
26 14 46.577 53.675
26 16 41.014 50.465
26 18 48.56 54.03
26 20 49.753 54.501
26 22 49.797 53.412
26 24 48.203 53.807
26 26 49.756 51.665
26 28 46.962 54.722
28 4 49.626 51.401
28 6 49.296 52.583
28 8 49.559 51.688
28 10 42.536 49.028
28 12 49.818 51.469
28 14 49.488 51.541
28 16 49.195 51.517
28 18 49.335 51.61
28 20 49.903 53.221
28 22 49.619 51.484
28 24 49.577 52.252
28 26 49.573 50.515
28 28 49.782 52.934
30 4 50.215 54.067
30 6 49.93 52.702
30 8 49.988 54.532
30 10 40.966 49.086
30 12 43.472 49.948
30 14 49.527 54.695
30 16 49.688 53.216
30 18 49.722 53.864
30 20 49.042 53.665
30 22 49.573 54.249
30 24 42.683 49.705
30 26 50.107 54.333
30 28 49.91 54.157
32 4 50.031 50.408
32 6 49.498 52.848
32 8 49.876 50.81
32 10 46.475 51.485
32 12 41.161 50.706
32 14 46.524 52.948
32 16 49.471 51.855
32 18 45.73 51.564
32 20 49.801 52.27
32 22 49.569 51.49
32 24 44.038 50.066
32 26 49.158 50.743
32 28 50.022 51.063
34 4 49.332 52.197
34 6 47.344 52.509
34 8 49.995 51.494
34 10 49.723 51.403
34 12 50.123 52.119
34 14 49.153 50.506
34 16 43.482 53.841
34 18 50.026 52.492
34 20 49.644 52.329
34 22 49.248 51.949
34 24 41.573 48.368
34 26 49.648 52.756
34 28 48.946 54.369
36 4 50.087 51.052
36 6 50.048 51.251
36 8 50.012 53.906
36 10 50.161 51.82
36 12 49.681 51.846
36 14 49.816 50.571
36 16 49.563 53.267
36 18 50.036 52.56
36 20 48.228 50.467
36 22 49.876 52.795
36 24 50.417 50.632
36 26 49.711 52.555
36 28 49.802 51.854
38 4 49.671 50.987
38 6 50.234 50.462
38 8 49.339 51.083
38 10 49.667 51.226
38 12 49.387 51.057
38 14 39.716 47.575
38 16 49.452 50.895
38 18 49.435 51.971
38 20 49.033 53.01
38 22 49.657 52.095
38 24 49.583 50.946
38 26 49.56 52.058
38 28 49.669 51.955
40 4 49.624 52.216
40 6 49.15 52.658
40 8 49.413 51.423
40 10 49.963 52.228
40 12 49.98 52.997
40 14 46.892 49.88
40 16 49.777 52.207
40 18 49.298 53.438
40 20 49.663 53.49
40 22 49.677 52.788
40 24 39.861 45.17
40 26 49.415 53.423
40 28 49.208 53.535
