internal_id,avg_hardness,avg_yield,composition_element,avg_composition
MITF2800,100,345,Si,0.3
MITF2800,100,345,Zn,0.1
MITF1490,55,175,Al,97.9
MITF1490,55,175,Cu,0.125
MITF1490,55,175,Fe,0.7
MITF1490,55,175,Mn,1.25
MITF1490,55,175,Other,0.15
MITF1490,55,175,Si,0.6
MITF1490,55,175,Zn,0.1
MITF1690,77,232.5,Al,96.9
MITF1690,77,232.5,Cu,0.25
MITF1690,77,232.5,Fe,0.7
MITF1690,77,232.5,Mg,1.05
MITF1690,77,232.5,Mn,1.25
MITF1690,77,232.5,Other,0.15
MITF1690,77,232.5,Si,0.3
MITF1690,77,232.5,Zn,0.25
MITF3560,25,50,Al,98.45
MITF3560,25,50,Cr,0.1
MITF3560,25,50,Cu,0.1
MITF3560,25,50,Fe,0.35
MITF3560,25,50,Mg,0.675
MITF3560,25,50,Mn,0.1
MITF3560,25,50,Other,0.15
MITF3560,25,50,Si,0.4
MITF3560,25,50,Ti,0.1
MITF3560,25,50,Zn,0.1
MITF3570,42,72.5,Al,98.45
MITF3570,42,72.5,Cr,0.1
MITF3570,42,72.5,Cu,0.1
MITF3570,42,72.5,Fe,0.35
MITF3570,42,72.5,Mg,0.675
MITF3570,42,72.5,Mn,0.1
MITF3570,42,72.5,Other,0.15
MITF3570,42,72.5,Si,0.4
MITF3570,42,72.5,Ti,0.1
MITF3570,42,72.5,Zn,0.1
MITF400,35,105,Al,99.8
MITF400,35,105,Cu,0.05
MITF400,35,105,Fe,0.35
MITF400,35,105,Mg,0.03
MITF400,35,105,Mn,0.03
MITF400,35,105,Si,0.25
MITF400,35,105,Ti,0.03
MITF400,35,105,V,0.05
MITF400,35,105,Zn,0.05
MITF390,30,90,Al,99.8
MITF390,30,90,Cu,0.05
MITF390,30,90,Fe,0.35
MITF390,30,90,Mg,0.03
MITF390,30,90,Mn,0.03
MITF390,30,90,Si,0.25
MITF390,30,90,Ti,0.03
MITF390,30,90,V,0.05
MITF390,30,90,Zn,0.05
MITF790,100,295,Al,92.95
MITF790,100,295,Bi,0.4
MITF790,100,295,Cu,5.5
MITF790,100,295,Fe,0.7
MITF790,100,295,Pb,0.4
MITF790,100,295,Other,0.15
MITF790,100,295,Si,0.4
MITF790,100,295,Zn,0.3
MITF900,135,382.5,Al,92.7
MITF900,135,382.5,Cr,0.1
MITF900,135,382.5,Cu,4.45
MITF900,135,382.5,Fe,0.7
MITF900,135,382.5,Mg,0.5
MITF900,135,382.5,Mn,0.8
MITF900,135,382.5,Other,0.15
MITF900,135,382.5,Si,0.85
MITF900,135,382.5,Ti,0.15
MITF900,135,382.5,Zn,0.25
MITF900,135,382.5,Zr,0.2
MITF3840,150,442.5,Al,89.15
MITF3840,150,442.5,Cr,0.23
MITF3840,150,442.5,Cu,1.6
MITF3840,150,442.5,Fe,0.5
MITF3840,150,442.5,Mg,2.5
MITF3840,150,442.5,Mn,0.3
MITF3840,150,442.5,Other,0.15
MITF3840,150,442.5,Si,0.4
MITF3840,150,442.5,Ti,0.2
MITF3840,150,442.5,Zn,5.6
MITF3840,150,442.5,Zr,0.25
MITF1660,52,157.5,Al,96.9
MITF1660,52,157.5,Cu,0.25
MITF1660,52,157.5,Fe,0.7
MITF1660,52,157.5,Mg,1.05
MITF1660,52,157.5,Mn,1.25
MITF1660,52,157.5,Other,0.15
MITF1660,52,157.5,Si,0.3
MITF1660,52,157.5,Zn,0.25
MITF1680,70,210,Al,96.9
MITF1680,70,210,Cu,0.25
MITF1680,70,210,Fe,0.7
MITF1680,70,210,Mg,1.05
MITF1680,70,210,Mn,1.25
MITF1680,70,210,Other,0.15
MITF1680,70,210,Si,0.3
MITF1680,70,210,Zn,0.25
MITF1700,45,65,Al,96.9
MITF1700,45,65,Cu,0.25
MITF1700,45,65,Fe,0.7
MITF1700,45,65,Mg,1.05
MITF1700,45,65,Mn,1.25
MITF1700,45,65,Other,0.15
MITF1700,45,65,Si,0.3
MITF1700,45,65,Zn,0.25
MITF2190,41,122.5,Al,98.25
MITF2190,41,122.5,Cr,0.1
MITF2190,41,122.5,Cu,0.2
MITF2190,41,122.5,Fe,0.7
MITF2190,41,122.5,Mg,0.8
MITF2190,41,122.5,Mn,0.2
MITF2190,41,122.5,Other,0.15
MITF2190,41,122.5,Si,0.3
MITF2190,41,122.5,Zn,0.25
MITF2760,105,405,Al,94.2
MITF2760,105,405,Cr,0.125
MITF2760,105,405,Cu,0.1
MITF2760,105,405,Fe,0.4
MITF2760,105,405,Mg,5.05
MITF2760,105,405,Mn,0.125
MITF2760,105,405,Other,0.15
MITF2760,105,405,Si,0.3
MITF2760,105,405,Zn,0.1
MITF3680,95,255,Al,98.45
MITF3680,95,255,Cr,0.1
MITF3680,95,255,Cu,0.1
MITF3680,95,255,Fe,0.35
MITF3680,95,255,Mg,0.675
MITF3680,95,255,Mn,0.1
MITF3680,95,255,Other,0.15
MITF3680,95,255,Si,0.4
MITF3680,95,255,Ti,0.1
MITF3680,95,255,Zn,0.1
MITF3240,70,155,Al,95.8
MITF3240,70,155,Cr,0.125
MITF3240,70,155,Cu,0.1
MITF3240,70,155,Fe,0.4
MITF3240,70,155,Mg,2.7
MITF3240,70,155,Mn,0.75
MITF3240,70,155,Other,0.15
MITF3240,70,155,Si,0.25
MITF3240,70,155,Ti,0.2
MITF3240,70,155,Zn,0.25
MITF3250,62,105,Al,95.8
MITF3250,62,105,Cr,0.125
MITF3250,62,105,Cu,0.1
MITF3250,62,105,Fe,0.4
MITF3250,62,105,Mg,2.7
MITF3250,62,105,Mn,0.75
MITF3250,62,105,Other,0.15
MITF3250,62,105,Si,0.25
MITF3250,62,105,Ti,0.2
MITF3250,62,105,Zn,0.25
MITF3360,62,100,Al,95.8
MITF3360,62,100,Cr,0.125
MITF3360,62,100,Cu,0.1
MITF3360,62,100,Fe,0.4
MITF3360,62,100,Mg,2.7
MITF3360,62,100,Mn,0.75
MITF3360,62,100,Other,0.15
MITF3360,62,100,Si,0.25
MITF3360,62,100,Ti,0.2
MITF3360,62,100,Zn,0.25
MITF370,23,52.5,Al,99.8
MITF370,23,52.5,Cu,0.05
MITF370,23,52.5,Fe,0.35
MITF370,23,52.5,Mg,0.03
MITF370,23,52.5,Mn,0.03
MITF370,23,52.5,Si,0.25
MITF370,23,52.5,Ti,0.03
MITF370,23,52.5,V,0.05
MITF370,23,52.5,Zn,0.05
MITF1010,120,317.5,Al,92.7
MITF1010,120,317.5,Cr,0.1
MITF1010,120,317.5,Cu,4.35
MITF1010,120,317.5,Fe,0.5
MITF1010,120,317.5,Mg,1.5
MITF1010,120,317.5,Mn,0.6
MITF1010,120,317.5,Other,0.15
MITF1010,120,317.5,Si,0.5
MITF1010,120,317.5,Ti,0.15
MITF1010,120,317.5,Zn,0.25
MITF1010,120,317.5,Zr,0.2
MITF2200,46,145,Al,98.25
MITF2200,46,145,Cr,0.1
MITF2200,46,145,Cu,0.2
MITF2200,46,145,Fe,0.7
MITF2200,46,145,Mg,0.8
MITF2200,46,145,Mn,0.2
MITF2200,46,145,Other,0.15
MITF2200,46,145,Si,0.3
MITF2200,46,145,Zn,0.25
MITF2560,36,47.5,Al,97.6
MITF2560,36,47.5,Cr,0.1
MITF2560,36,47.5,Cu,0.2
MITF2560,36,47.5,Fe,0.7
MITF2560,36,47.5,Mg,1.45
MITF2560,36,47.5,Mn,0.1
MITF2560,36,47.5,Other,0.15
MITF2560,36,47.5,Si,0.4
MITF2560,36,47.5,Zn,0.25
MITF2690,68,197.5,Al,96.75
MITF2690,68,197.5,Cr,0.25
MITF2690,68,197.5,Cu,0.1
MITF2690,68,197.5,Fe,0.4
MITF2690,68,197.5,Mg,2.5
MITF2690,68,197.5,Mn,0.1
MITF2690,68,197.5,Other,0.15
MITF2690,68,197.5,Si,0.25
MITF2690,68,197.5,Zn,0.1
MITF2710,77,235,Al,96.75
MITF2710,77,235,Cr,0.25
MITF2710,77,235,Cu,0.1
MITF2710,77,235,Fe,0.4
MITF2710,77,235,Mg,2.5
MITF2710,77,235,Mn,0.1
MITF2710,77,235,Other,0.15
MITF2710,77,235,Si,0.25
MITF2710,77,235,Zn,0.1
MITF3200,73,215,Al,95.6
MITF3200,73,215,Cr,0.25
MITF3200,73,215,Cu,0.1
MITF3200,73,215,Fe,0.4
MITF3200,73,215,Mg,3.5
MITF3200,73,215,Mn,0.1
MITF3200,73,215,Other,0.15
MITF3200,73,215,Si,0.25
MITF3200,73,215,Ti,0.2
MITF3200,73,215,Zn,0.2
MITF1460,35,105,Al,97.9
MITF1460,35,105,Cu,0.125
MITF1460,35,105,Fe,0.7
MITF1460,35,105,Mn,1.25
MITF1460,35,105,Other,0.15
MITF1460,35,105,Si,0.6
MITF1460,35,105,Zn,0.1
MITF1670,63,185,Al,96.9
MITF1670,63,185,Cu,0.25
MITF1670,63,185,Fe,0.7
MITF1670,63,185,Mg,1.05
MITF1670,63,185,Mn,1.25
MITF1670,63,185,Other,0.15
MITF1670,63,185,Si,0.3
MITF1670,63,185,Zn,0.25
MITF3330,81,220,Al,95.8
MITF3330,81,220,Cr,0.125
MITF3330,81,220,Cu,0.1
MITF3330,81,220,Fe,0.4
MITF3330,81,220,Mg,2.7
MITF3330,81,220,Mn,0.75
MITF3330,81,220,Other,0.15
MITF3330,81,220,Si,0.25
MITF3330,81,220,Ti,0.2
MITF3330,81,220,Zn,0.25
MITF3830,60,105,Al,89.15
MITF3830,60,105,Cr,0.23
MITF3830,60,105,Cu,1.6
MITF3830,60,105,Fe,0.5
MITF3830,60,105,Mg,2.5
MITF3830,60,105,Mn,0.3
MITF3830,60,105,Other,0.15
MITF3830,60,105,Si,0.4
MITF3830,60,105,Ti,0.2
MITF3830,60,105,Zn,5.6
MITF3830,60,105,Zr,0.25
MINFM7231,111.5,655,C,0.41
MINFM7231,111.5,655,Fe,97.9649
MINFM7231,111.5,655,Mn,1.5
MINFM7231,111.5,655,P,0.02
MINFM7231,111.5,655,S,0.105
MINFM7285,60.5,235,C,0.075
MINFM7285,60.5,235,Fe,98.3049
MINFM7285,60.5,235,Pb,0.25
MINFM7285,60.5,235,Mn,1
MINFM7285,60.5,235,P,0.065
MINFM7285,60.5,235,S,0.305
MINFM7373,160,240,C,0.075
MINFM7373,160,240,Cr,18
MINFM7373,160,240,Fe,70.9499
MINFM7373,160,240,Mn,1
MINFM7373,160,240,Mo,0.3
MINFM7373,160,240,Ni,9
MINFM7373,160,240,P,0.1
MINFM7373,160,240,Si,0.5
MINFM7373,160,240,S,0.075
MINFM7454,85,275,C,0.04
MINFM7454,85,275,Cr,25
MINFM7454,85,275,Fe,52.6724
MINFM7454,85,275,Mn,1
MINFM7454,85,275,Ni,20.5
MINFM7454,85,275,P,0.0225
MINFM7454,85,275,Si,0.75
MINFM7454,85,275,S,0.015
MINFM7376,160,240,C,0.075
MINFM7376,160,240,Cr,18
MINFM7376,160,240,Fe,71.2199
MINFM7376,160,240,Mn,1
MINFM7376,160,240,Ni,9
MINFM7376,160,240,P,0.1
MINFM7376,160,240,Se,0.075
MINFM7376,160,240,Si,0.5
MINFM7376,160,240,S,0.03
MINFM50412,85,275,C,0.04
MINFM50412,85,275,Cr,23
MINFM50412,85,275,Fe,61.9224
MINFM50412,85,275,Mn,1
MINFM50412,85,275,Ni,13.5
MINFM50412,85,275,P,0.0225
MINFM50412,85,275,Si,0.5
MINFM50412,85,275,S,0.015
MINFM7446,80,275,C,0.125
MINFM7446,80,275,Cr,25
MINFM7446,80,275,Fe,52.5874
MINFM7446,80,275,Mn,1
MINFM7446,80,275,Ni,20.5
MINFM7446,80,275,P,0.0225
MINFM7446,80,275,Si,0.75
MINFM7446,80,275,S,0.015
MINFM7521,80,240,C,0.04
MINFM7521,80,240,Cr,18
MINFM7521,80,240,Fe,69.0474
MINFM7521,80,240,Mn,1
MINFM7521,80,240,Ni,11
MINFM7521,80,240,P,0.0225
MINFM7521,80,240,Si,0.375
MINFM7521,80,240,S,0.015
MINFM7687,117.5,620,C,0.075
MINFM7687,117.5,620,Cr,12.5
MINFM7687,117.5,620,Fe,84.5149
MINFM7687,117.5,620,Mn,0.5
MINFM7687,117.5,620,Ni,1.875
MINFM7687,117.5,620,P,0.02
MINFM7687,117.5,620,Si,0.5
MINFM7687,117.5,620,S,0.015
MINFM7563,293,393,C,0.225
MINFM7563,293,393,Fe,98.4624
MINFM7563,293,393,Mn,0.8
MINFM7563,293,393,Mo,0.25
MINFM7563,293,393,P,0.02
MINFM7563,293,393,Si,0.25
MINFM7563,293,393,S,0.02
MINFM7921,80,276,C,0.06
MINFM7921,80,276,Cr,17
MINFM7921,80,276,Fe,80.5549
MINFM7921,80,276,Mn,0.5
MINFM7921,80,276,Mo,1
MINFM7921,80,276,P,0.02
MINFM7921,80,276,Si,0.5
MINFM7921,80,276,S,0.015
MINFM7827,130,655,C,0.1
MINFM7827,130,655,Cr,16
MINFM7827,130,655,Fe,80.9899
MINFM7827,130,655,Mn,0.5
MINFM7827,130,655,Ni,1.875
MINFM7827,130,655,P,0.02
MINFM7827,130,655,Si,0.5
MINFM7827,130,655,S,0.015
MINFM7928,107.5,415,C,0.675
MINFM7928,107.5,415,Cr,17
MINFM7928,107.5,415,Fe,80.9149
MINFM7928,107.5,415,Mn,0.5
MINFM7928,107.5,415,Mo,0.375
MINFM7928,107.5,415,P,0.02
MINFM7928,107.5,415,Si,0.5
MINFM7928,107.5,415,S,0.015
MINFM7927,107.5,415,C,0.675
MINFM7927,107.5,415,Cr,17
MINFM7927,107.5,415,Fe,80.9149
MINFM7927,107.5,415,Mn,0.5
MINFM7927,107.5,415,Mo,0.375
MINFM7927,107.5,415,P,0.02
MINFM7927,107.5,415,Si,0.5
MINFM7927,107.5,415,S,0.015
MINFM8058,382,472.5,C,0.205
MINFM8058,382,472.5,Fe,95.5549
MINFM8058,382,472.5,Mn,0.6
MINFM8058,382,472.5,Mo,0.25
MINFM8058,382,472.5,Ni,3.5
MINFM8058,382,472.5,P,0.02
MINFM8058,382,472.5,Si,0.25
MINFM8058,382,472.5,S,0.02
MINFM7808,110,380,C,0.075
MINFM7808,110,380,Cr,13
MINFM7808,110,380,Fe,85.2699
MINFM7808,110,380,Mn,0.625
MINFM7808,110,380,Mo,0.3
MINFM7808,110,380,P,0.03
MINFM7808,110,380,Si,0.625
MINFM7808,110,380,S,0.075
MINFM50424,114,690,C,0.075
MINFM50424,114,690,Cr,13
MINFM50424,114,690,Fe,85.5149
MINFM50424,114,690,Mn,0.5
MINFM50424,114,690,Mo,0.3
MINFM50424,114,690,P,0.02
MINFM50424,114,690,Se,0.075
