,internal_id,avg_yield,Al,B,Bi,C,Ca,Ce,Co,Cr,Cu,Fe,Mg,Mn,Mo,N,Nb,Ni,P,Pb,S,Se,Si,Ti,V,W,Zn,Zr,youngs_modulus,lattice_constant,melting_point,specific_heat,atomic_mass,CTE,electrical_resistivity,atomic_radius,density_of_solid,poissons_ratio
13,MITF2700,220.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.4,2.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.1,0.0,69.866,3.995055,932.77783,0.8902614999999999,26.9385049238,2.2439649999999998e-05,2.5289417e-06,1.24505,2696.397,0.343745
14,MITF2700,220.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.4,2.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.1,0.0,69.866,3.995055,932.77783,0.8902614999999999,26.9385049238,2.2439649999999998e-05,2.5289417e-06,1.24505,2696.397,0.343745
15,MITF2820,150.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.4,4.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,68.5865,3.9508750000000004,925.7988300000001,0.8882615,26.6766144705,2.1966999999999998e-05,3.0283507e-06,1.2429999999999999,2651.061,0.340405
16,MITF3190,192.5,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.4,3.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.2,0.0,69.63099999999999,3.975805,932.5655600000001,0.8883205,26.9406513834,2.2237450000000002e-05,2.5298197000000002e-06,1.2452,2690.3930000000005,0.342345
17,MITF3210,235.0,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.4,3.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.2,0.0,69.63099999999999,3.975805,932.5655600000001,0.8883205,26.9406513834,2.2237450000000002e-05,2.5298197000000002e-06,1.2452,2690.3930000000005,0.342345
18,MITF3220,255.0,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.4,3.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.2,0.0,69.63099999999999,3.975805,932.5655600000001,0.8883205,26.9406513834,2.2237450000000002e-05,2.5298197000000002e-06,1.2452,2690.3930000000005,0.342345
19,MITF3230,95.0,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.4,3.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.2,0.0,69.63099999999999,3.975805,932.5655600000001,0.8883205,26.9406513834,2.2237450000000002e-05,2.5298197000000002e-06,1.2452,2690.3930000000005,0.342345
20,MITF3600,125.0,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.35,0.45,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.0,70.116,4.005089999999999,931.63483,0.88733,26.95175728,2.26878e-05,2.0289172e-06,1.2395,2707.717,0.34469
21,MITF3860,437.5,86.9,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.2,0.5,2.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,5.1,0.25,71.58420000000001,3.8477390000000007,915.51743,0.8371179000000001,29.029541158400004,2.2159070000000004e-05,4.0345844999999996e-06,1.2275950000000002,2963.2215,0.33038799999999996
22,MITF850,247.5,90.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.9,0.7,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.25,0.2,71.803,3.9116250000000004,936.785725,0.8419935000000001,28.139076674399995,2.18294e-05,5.0333698000000005e-06,1.2165250000000003,2933.5765,0.334265
23,MITF480,90.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,72.152,4.1014100000000004,961.20453,0.903279,27.6756792365,2.3062299999999998e-05,1.0028518600000001e-05,1.265225,2790.375,0.34981999999999996
24,MITF3620,192.5,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.35,0.45,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.0,70.116,4.005089999999999,931.63483,0.88733,26.95175728,2.26878e-05,2.0289172e-06,1.2395,2707.717,0.34469
25,MITF3320,192.5,94.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.4,2.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.25,0.0,69.95299999999999,3.9913950000000002,931.3294249999999,0.8836594999999999,26.997958501999996,2.2300149999999997e-05,2.5352017e-06,1.2408249999999996,2707.2370000000005,0.34058
26,MITF2180,100.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.7,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.25,0.0,70.948,4.01546,937.419025,0.8865170000000001,27.221275632,2.26952e-05,3.0303014e-06,1.243375,2747.5679999999998,0.344495
27,MITF2210,185.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.7,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.25,0.0,70.948,4.01546,937.419025,0.8865170000000001,27.221275632,2.26952e-05,3.0303014e-06,1.243375,2747.5679999999998,0.344495
28,MITF2670,177.5,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.4,2.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.1,0.0,69.866,3.995055,932.77783,0.8902614999999999,26.9385049238,2.2439649999999998e-05,2.5289417e-06,1.24505,2696.397,0.343745
